"Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","sig"
"ENSG00000176153.12",5551.00192476055,-2.68844549088005,0.366812868851292,-7.32920166977557,2.31527759770964e-13,7.30366553404322e-11,"GPX2","Down"
"ENSG00000125498.20",6.76157391994807,-2.58900695989285,0.354806652251278,-7.29695157479542,2.94360676487417e-13,9.21087790999054e-11,"KIR2DL1","Down"
"ENSG00000151012.13",2131.7683549895,-1.73520529100793,0.237927879315348,-7.29298851400303,3.03153946115265e-13,9.41014101057473e-11,"SLC7A11","Down"
"ENSG00000187288.12",22.2529745577469,-2.80873145594092,0.386329970937184,-7.27029137586015,3.58712908555538e-13,1.10463647340186e-10,"CIDEC","Down"
"ENSG00000019186.10",4964.1600254455,-2.20693241161793,0.304272949553009,-7.25313378944799,4.07237457652336e-13,1.24419059798175e-10,"CYP24A1","Down"
"ENSG00000180535.4",717.959766818624,-1.44038203236269,0.1987606201561,-7.24681796238846,4.26676802078268e-13,1.29339739042491e-10,"BHLHA15","Down"
"ENSG00000196091.15",60.3736033493397,-2.61887201223789,0.361600563021216,-7.2424445093694,4.40668760749231e-13,1.32545647952177e-10,"MYBPC1","Down"
"ENSG00000150750.8",43.2943799785107,-3.14899610347513,0.434878854740261,-7.24108810798798,4.45099113558655e-13,1.32848390039918e-10,"C11orf53","Down"
"ENSG00000003989.18",6129.29979771445,-1.85444537915104,0.25683932282569,-7.22025490002405,5.18902161490984e-13,1.52529717939482e-10,"SLC7A2","Down"
"ENSG00000177138.17",20.1394647765353,-3.27977480195166,0.454200924943468,-7.22097781364024,5.16150747255638e-13,1.52529717939482e-10,"FAM9B","Down"
"ENSG00000181333.12",51.7636183671569,1.87543787123193,0.260030303006741,7.2123819783547,5.49814796317017e-13,1.60401232420275e-10,"HEPHL1","Up"
"ENSG00000196139.14",8806.1799209102,-2.05903753999743,0.285793035374583,-7.20464561810853,5.81950015048561e-13,1.68509272641039e-10,"AKR1C3","Down"
"ENSG00000129437.11",113.348841336028,-2.43874651412384,0.338564602141574,-7.2031940099398,5.88181881707903e-13,1.69052186608506e-10,"KLK14","Down"
"ENSG00000104970.11",11.2160365675307,-2.05261010811212,0.285681356384638,-7.18496346449893,6.7225161191283e-13,1.91794373484042e-10,"KIR3DX1","Down"
"ENSG00000163283.7",94.2929977697697,-2.33864274919717,0.326672246712341,-7.158988168519,8.12746996594883e-13,2.29599960736218e-10,"ALPP","Down"
"ENSG00000261231.6",20.2817108742046,2.3443131553018,0.327493959313057,7.15834014227063,8.16597370727508e-13,2.29599960736218e-10,"LINC02133","Up"
"ENSG00000198183.12",23789.0231798322,-3.10258754514854,0.434424386029165,-7.14183559884285,9.20927064699419e-13,2.57071158542462e-10,"BPIFA1","Down"
"ENSG00000160182.3",2645.39928016119,-3.44643562814281,0.48291250350661,-7.13677033234165,9.55492925655549e-13,2.64814864345435e-10,"TFF1","Down"
"ENSG00000142687.18",6860.39398022471,0.543445222112395,0.0763127935659704,7.12128591705401,1.06924718547674e-12,2.9424014215378e-10,"KIAA0319L","Not significant"
"ENSG00000131668.14",817.14288827941,-2.84513085599677,0.400859656899905,-7.09757344503043,1.26966337609764e-12,3.46931046872989e-10,"BARX1","Down"
"ENSG00000175121.11",14.4943985060449,-3.5842498270601,0.506044862351386,-7.08286970923001,1.41199420966954e-12,3.80463800898527e-10,"WFDC5","Down"
"ENSG00000267056.2",63.5804057656014,-2.83128425621975,0.399721573839167,-7.08314096991662,1.40923188494538e-12,3.80463800898527e-10,"AC005336.1","Down"
"ENSG00000215262.8",31.0437802230975,-4.54042552377059,0.644687706561528,-7.04282938476858,1.88374839791711e-12,5.04078079914356e-10,"KCNU1","Down"
"ENSG00000197561.7",26.7743381694825,2.16372319765517,0.307614588556525,7.03387705962972,2.0087213204319e-12,5.33838328452589e-10,"ELANE","Up"
"ENSG00000107262.26",4504.82361203195,-0.764310266575503,0.108805983049141,-7.02452425093492,2.14796868694836e-12,5.66961449131178e-10,"BAG1","Not significant"
"ENSG00000265190.7",123.397165326332,-2.22573454026548,0.317879593382541,-7.00181636883812,2.52665113221427e-12,6.62409395817878e-10,"ANXA8","Down"
"ENSG00000072315.3",1.58622316022571,2.34017209386543,0.334937635324965,6.98688904158215,2.81048336383396e-12,7.31876275168601e-10,"TRPC5","Up"
